TIME ,SF  ,PUSHOVER LABEL ,PUSHOVER LAMBDA ,PUSHOVER U-CTRL ,ARC LENGTH STEP ,ARC LENGTH U-NORM ,ARC LENGTH LOAD FACTOR ,NR     ,X        ,Y         ,Displacement-X ,Displacement-Y ,Rotation-Z ,Pore pressure- ,Total head- ,Residual Force-X ,Residual Force-Y ,Residual Heat flux-Z ,Solid-Velocity-X ,Solid-Velocity-Y ,Solid-Acceleration-X ,Solid-Acceleration-Y ,Unnamed: 23 ,PUSHOVER LABEL         ,PUSHOVER LAMBDA ,PUSHOVER U-CTRL ,ARC LENGTH STEP ,ARC LENGTH U-NORM ,ARC LENGTH LOAD FACTOR ,ELEM. ,GP  ,X                    ,Y                  ,Z   ,Eff.Stress-XX       ,Eff.Stress-YY       ,Eff.Stress-XY           ,Eff.Stress-ZZ       ,Eff.Stress-XZ ,Eff.Stress-YZ ,Eff.Stress-11       ,Eff.Stress-22       ,Eff.Stress-33       ,Eff.Stress-I1       ,Eff.Stress-J2^1/2    ,Eff.Stress-p        ,Eff.Stress-q         ,Tot.Stress-XX         ,Tot.Stress-YY       ,Tot.Stress-XY           ,Tot.Stress-ZZ       ,Tot.Stress-XZ ,Tot.Stress-YZ ,Tot.Stress-11        ,Tot.Stress-22       ,Tot.Stress-33       ,Tot.Stress-I1       ,Tot.Stress-J2^1/2    ,Tot.Stress-p         ,Tot.Stress-q         ,Strain-XX               ,Strain-YY               ,Strain-XY               ,Strain-ZZ ,Strain-XZ ,Strain-YZ ,Strain-11               ,Strain-22               ,Strain-33 ,Strain-I1               ,Strain-J2^1/2          ,Stress level         ,Saturation              ,Fluid velocity-X        ,Fluid velocity-Y        ,Fluid velocity-Z       ,Fluid velocity-ABS     ,Pc  ,Pore pressure         ,alpha*(S*pF+<dpF_undr>) ,Temperature ,Unnamed: 60 ,TIME
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,   1.0 ,50.0     ,-12.0     ,           0.0 ,           0.0 ,       0.0 ,66.79613       ,-18.67961   ,-0.01066671      ,-0.0006764207    ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,1.9420850464433876     ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 327.9540774157042   ,1.0                ,0.0 ,-116.1910915688829  ,-214.89190809030282 ,0.8390605411054678      ,-108.78236754584947 ,          0.0 ,          0.0 ,-116.17864117232182 ,-214.9043584868639  ,-108.78236754584947 ,-439.86537177703485 , 59.26857184376086   ,146.62179059234495  ,102.65615731197467   ,-111.20524765719804   ,-209.90608703861614 ,0.8390605411054678      ,-103.79653155866815 ,          0.0 ,          0.0 ,-111.19281554863548  ,-209.91849171518086 ,-103.79653155866815 ,-424.90785711048306 , 59.26857184376086   ,141.63596954065827   ,102.65615731197467   ,-3.7431651342193925e-06 ,1.0178381494885256e-06  ,-2.217912363775187e-07  ,      0.0 ,      0.0 ,      0.0 ,1.0229667059926585e-06  ,-3.748293725472497e-06  ,      0.0 ,-2.725327033219375e-06  ,2.5221582908932033e-06 ,0.2907885996936229   ,0.029011129187660592    ,-4.093590875041108e-07  ,2.6435027579024942e-09  ,1.1301300387862197e-06 ,32.248372947242736     ,0.0 ,35.95212945463482     ,2.2813926142819         ,        0.0 ,        0.0 , 0.0
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,   2.0 ,48.07692 ,-11.96154 ,           0.0 ,           0.0 ,       0.0 ,67.21634       ,-18.68317   ,-0.01511697      ,-0.0004115128    ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,1.7580861101867165     ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 301.33243911291356  ,1.0                ,0.0 ,-118.13853880625553 ,-215.69205184843545 ,-0.7202942822227821     ,-109.51653563624821 ,          0.0 ,          0.0 ,-118.11842482682297 ,-215.71217820968258 ,-109.51653563624821 ,-443.3471603877798  , 58.99297122908948   ,147.78240311426597  ,102.17879716450432   ,-113.15340070695686   ,-210.7069068922882  ,-0.7202942822227821     ,-104.53139753694956 ,          0.0 ,          0.0 ,-113.13326501249824  ,-210.7270326812952  ,-104.53139753694956 ,-428.39170018346886 , 58.99297122908948   ,142.7972333944896    ,102.17879716450432   ,-3.5598847205923696e-06 ,7.385595097222641e-07   ,-6.307422425105108e-07  ,      0.0 ,      0.0 ,      0.0 ,7.670341741203997e-07   ,-3.5883593124163387e-06 ,      0.0 ,-2.8213252861064763e-06 ,2.330387595376101e-06  ,0.1877066589794089   ,0.02007958111301482     ,-2.942216147082213e-07  ,-4.151784236309126e-10  ,1.2410402133257243e-06 ,54.26213811204465      ,0.0 ,14.521408608322135    ,1.2053949829837995      ,        0.0 ,        0.0 , 0.0
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,   3.0 ,46.15385 ,-11.92308 ,           0.0 ,           0.0 ,       0.0 ,67.63554       ,-18.68663   ,-0.0112379       ,-0.0002536291    ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,0.8248479198616014     ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 314.0013053401598   ,1.0                ,0.0 ,-117.17333526049671 ,-217.2655160623267  ,-1.7384414163502497     ,-110.00640434858983 ,          0.0 ,          0.0 ,-117.13751676983065 ,-217.30133630451357 ,-110.00640434858983 ,-444.44533807395135 , 60.00661029770086   ,148.14846768117846  ,103.93447792342582   ,-112.18761263878592   ,-212.27972188105593 ,-1.7384414163502497     ,-105.02067680617    ,          0.0 ,          0.0 ,-112.15172117089247  ,-212.31560876209375 ,-105.02067680617    ,-429.48802216899014 , 60.00661029770086   ,143.1626734999077    ,103.93447792342582   ,-2.384261925391037e-06  ,5.691087294527367e-07   ,-1.1281392417267481e-06 ,      0.0 ,      0.0 ,      0.0 ,7.128218669788932e-07   ,-2.5279748630006405e-06 ,      0.0 ,-1.815153262577151e-06  ,1.7101559499738587e-06 ,0.4644794683043799   ,0.06445090951308459     ,-9.003215332664436e-07  ,-3.709457259919376e-09  ,8.589918258000697e-08  ,12.621243819130422     ,0.0 ,56.7695723661404      ,4.195011837736623       ,        0.0 ,        0.0 , 0.0
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,   4.0 ,44.23077 ,-11.88462 ,           0.0 ,           0.0 ,       0.0 ,68.05348       ,-18.68996   ,-0.0133089       ,-6.711295e-06    ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,1.0                    ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 388.18436052792686  ,1.0                ,0.0 ,-113.81291117747014 ,-217.58811350980147 ,-2.476773761292523      ,-109.51541394996792 ,          0.0 ,          0.0 ,-113.75003725991647 ,-217.65098742735518 ,-109.51541394996792 ,-440.9164565151563  , 61.25786552507165   ,146.97218046064216  ,106.10173288705894   ,-108.82833298983587   ,-212.6034889132498  ,-2.476773761292523      ,-104.530822364563   ,          0.0 ,          0.0 ,-108.76539926559416  ,-212.66639584195025 ,-104.530822364563   ,-425.962630869878   , 61.25786552507165   ,141.9875709973204    ,106.10173288705894   ,-2.951534740228173e-06  ,1.147614407008101e-06   ,-2.9276888420748878e-06 ,      0.0 ,      0.0 ,      0.0 ,1.6570310079717148e-06  ,-3.4609512118918864e-06 ,      0.0 ,-1.8039203813644486e-06 ,2.617629098450706e-06  ,0.22488830162399592  ,0.033455694005924255    ,-8.679026771108998e-07  ,-8.936124211460092e-09  ,3.631395398273185e-07  ,53.35641483951287      ,0.0 ,16.83593202943869     ,1.6417254783776065      ,        0.0 ,        0.0 , 0.0
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,   5.0 ,42.30769 ,-11.84615 ,           0.0 ,           0.0 ,       0.0 ,68.46975       ,-18.69313   ,-0.01205367      ,5.470805e-05     ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,1.9603567113199332     ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 417.6573138998773   ,1.0                ,0.0 ,-112.53226968713011 ,-217.82568209570456 ,-2.9151792224699022     ,-109.39480080358967 ,          0.0 ,          0.0 ,-112.45118905982002 ,-217.90676272301465 ,-109.39480080358967 ,-439.7527525864243  , 61.78736481768623   ,146.5842604908832   ,107.01886956666084   ,-107.54898182629495   ,-212.8423932594079  ,-2.9151792224699022     ,-104.41149367313736 ,          0.0 ,          0.0 ,-107.46789924806191  ,-212.923473886718   ,-104.41149367313736 ,-424.8028629815952  , 61.78736481768623   ,141.60097165458654   ,107.01886956666084   ,-3.62140172095442e-06   ,1.4364605465373954e-06  ,-1.8484768198146145e-06 ,      0.0 ,      0.0 ,      0.0 ,1.6964677336145234e-06  ,-3.881409115895001e-06  ,      0.0 ,-2.184941336088599e-06  ,2.8613647219473535e-06 ,0.07741759810330813  ,-1.8524301382687094e-06 ,-1.7181267694250566e-08 ,0.0                     ,1.8525314412708655e-06 ,69.90899712344617      ,0.0 ,0.0                   ,0.0                     ,        0.0 ,        0.0 , 0.0
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,   6.0 ,40.38462 ,-11.80769 ,           0.0 ,           0.0 ,       0.0 ,68.88423       ,-18.69612   ,-0.008740712     ,0.000407249      ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,2.7387262742572567     ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 416.41209545815866  ,1.0                ,0.0 ,-112.53921592152741 ,-217.4027041189259  ,-3.120509909307975      ,-109.27782152727485 ,          0.0 ,          0.0 ,-112.446352706836   ,-217.49554280517228 ,-109.27782152727485 ,-439.2197399688006  , 61.588340000373975  ,146.40656417027935  ,106.67413209881065   ,-107.55492949104011   ,-212.41842752854586 ,-3.120509909307975      ,-104.29354789814681 ,          0.0 ,          0.0 ,-107.46207907770795  ,-212.51126621479222 ,-104.29354789814681 ,-424.266887268143   , 61.588340000373975  ,141.42228757989932   ,106.67413209881065   ,-3.719342471075346e-06  ,1.4222057815686776e-06  ,-1.9979582294052063e-06 ,      0.0 ,      0.0 ,      0.0 ,1.7371272039695905e-06  ,-4.034263942533149e-06  ,      0.0 ,-2.2971367140351133e-06 ,2.9629195712566933e-06 ,0.1854699055245242   ,0.028301255353380458    ,-8.042683545405109e-07  ,-3.842066948394383e-08  ,9.155612168761208e-07  ,59.680567062776426     ,0.0 ,10.557952742214033    ,1.2182307315352507      ,        0.0 ,        0.0 , 0.0
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,   7.0 ,38.46154 ,-11.76923 ,           0.0 ,           0.0 ,       0.0 ,69.29638       ,-18.69887   ,-0.006983664     ,-0.0004837743    ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,3.4849445049113568     ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 335.1906082581652   ,1.0                ,0.0 ,-114.03876366051617 ,-216.80249755154446 ,-3.0087654903303873     ,-109.37310150922343 ,          0.0 ,          0.0 ,-113.95039566752092 ,-216.89081449664496 ,-109.37310150922343 ,-440.2144114445619  , 60.807680978215     ,146.7381207545431   ,105.322005360625     ,-109.05191297969859   ,-211.8156058420806  ,-3.0087654903303873     ,-104.38625572361639 ,          0.0 ,          0.0 ,-108.96354988191386  ,-211.90397360624848 ,-104.38625572361639 ,-425.25378900219977 , 60.807680978215     ,141.75127986414657   ,105.322005360625     ,-3.928230702211868e-06  ,1.0767925468840524e-06  ,-2.6339383326127636e-06 ,      0.0 ,      0.0 ,      0.0 ,1.5779076578275255e-06  ,-4.429345966070198e-06  ,      0.0 ,-2.851438206375711e-06  ,3.134448844532201e-06  ,0.30945678645783536  ,0.04134855949709364     ,-1.510691245723011e-06  ,-1.6635862483366445e-08 ,2.9051449279864e-07    ,39.30076356533135      ,0.0 ,31.42544231021951     ,2.5440007595427985      ,        0.0 ,        0.0 , 0.0
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,   8.0 ,36.53846 ,-11.73077 ,           0.0 ,           0.0 ,       0.0 ,69.70558       ,-18.70133   ,-0.01141437      ,-0.0003707283    ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,1.7133298917229436     ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 303.5713279085871   ,1.0                ,0.0 ,-114.80994097658552 ,-215.97832931725048 ,-3.0130295308001913     ,-109.23138576224417 ,          0.0 ,          0.0 ,-114.71974441033905 ,-216.06847309851088 ,-109.23138576224417 ,-440.0196536105814  , 60.166017722338026  ,146.67322708720164  ,104.210597699494     ,-109.8237532761058    ,-210.99209127728346 ,-3.0130295308001913     ,-104.24519806176448 ,          0.0 ,          0.0 ,-109.73355670985934  ,-211.08228295253235 ,-104.24519806176448 ,-425.0610076276339  , 60.166017722338026  ,141.6870092901996    ,104.210597699494     ,-2.6549982002003235e-06 ,4.5374238501095416e-07  ,-7.019216971934934e-07  ,      0.0 ,      0.0 ,      0.0 ,5.37986907544833e-07    ,-2.739242755812074e-06  ,      0.0 ,-2.20125572482824e-06   ,1.7590650888061787e-06 ,0.2961871208705572   ,0.03871969988579984     ,-1.4194366454565893e-06 ,-1.5340525946698936e-08 ,3.312651908111421e-07  ,41.19182716088436      ,0.0 ,29.523808606085606    ,2.386860617515457       ,        0.0 ,        0.0 , 0.0
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,   9.0 ,34.61538 ,-11.69231 ,           0.0 ,           0.0 ,       0.0 ,70.1114        ,-18.70345   ,-0.01604189      ,-0.0001227645    ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,1.8509700527552106     ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 306.5416368990752   ,1.0                ,0.0 ,-113.49377939085275 ,-215.25490973812026 ,-3.302397342079544      ,-108.71264789957934 ,          0.0 ,          0.0 ,-113.38659046734949 ,-215.36213210336592 ,-108.71264789957934 ,-437.4613704702947  , 60.27394295813359   ,145.82046378129553  ,104.39751182462714   ,-108.50711438764031   ,-210.26822398335037 ,-3.302397342079544      ,-103.7259828963669  ,          0.0 ,          0.0 ,-108.39989963650561  ,-210.37544634859603 ,-103.7259828963669  ,-422.50129531769187 , 60.27394295813359   ,140.83373177256394   ,104.39751182462714   ,-2.2186422826959562e-06 ,4.741524078281487e-07   ,-2.831177634642081e-06  ,      0.0 ,      0.0 ,      0.0 ,1.1380306942860321e-06  ,-2.8825205453761074e-06 ,      0.0 ,-1.7444896630077716e-06 ,2.0853295373702615e-06 ,0.07177474477838514  ,-9.19816854227623e-07   ,1.3844632923597246e-08  ,0.0                     ,9.199273162024539e-07  ,72.2919817965811       ,0.0 ,0.0                   ,0.0                     ,        0.0 ,        0.0 , 0.0
 0.0 ,0.0 ,           0.0 ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  10.0 ,32.69231 ,-11.65385 ,           0.0 ,           0.0 ,       0.0 ,70.51313       ,-18.70516   ,-0.01829915      ,-0.0002919041    ,                 0.0 ,             0.0 ,             0.0 ,                 0.0 ,                 0.0 ,        0.0 ,3.47197573522878       ,            0.0 ,            0.0 ,            0.0 ,              0.0 ,                   0.0 ,  0.0 ,0.0 , 338.8023843671612   ,1.0                ,0.0 ,-111.34790173115177 ,-214.69230187388555 ,-3.364513830137274      ,-108.09012851656973 ,          0.0 ,          0.0 ,-111.23852602123085 ,-214.80172478138    ,-108.09012851656973 ,-434.1303587381627  , 60.728068936734665  ,144.71010287850004  ,105.18410792248241   ,-106.36050298703552   ,-209.7048199154146  ,-3.364513830137274      ,-103.10271433669011 ,          0.0 ,          0.0 ,-106.25107493428662  ,-209.81424282290902 ,-103.10271433669011 ,-419.16801151286796 , 60.728068936734665  ,139.72267237257364   ,105.18410792248241   ,-3.615100785803016e-06  ,8.838098020442422e-07   ,-2.5239194884524156e-06 ,      0.0 ,      0.0 ,      0.0 ,1.2209392493793551e-06  ,-3.952230891956059e-06  ,      0.0 ,-2.7312908920633907e-06 ,2.7087972547484e-06    ,0.07660651180732672  ,0.0010873139935279991   ,-3.275756812104045e-08  ,3.5045863910252314e-10  ,1.2953623830469865e-06 ,71.26153837181354      ,0.0 ,0.8342047540626       ,0.06727425427520858     ,        0.0 ,        0.0 , 0.0
